Date,Price,Open,High,Low,Change %
2023-09-12,335.41,335.41,335.41,335.41,-1.34%
2023-09-13,335.19,335.19,335.19,335.19,-0.07%
2023-09-14,337.55,337.55,337.55,337.55,0.70%
2023-09-15,334.97,334.97,334.97,334.97,-0.76%
2023-09-18,332.19,332.19,332.19,332.19,-0.83%
2023-09-19,331.15,331.15,331.15,331.15,-0.31%
2023-09-20,330.92,330.92,330.92,330.92,-0.07%
2023-09-21,323.42,323.42,323.42,323.42,-2.27%
2023-09-22,323.94,323.94,323.94,323.94,0.16%
2023-09-25,323.97,323.97,323.97,323.97,0.01%
2023-09-26,319.9,319.9,319.9,319.9,-1.26%
2023-09-27,319.6,319.6,319.6,319.6,-0.09%
2023-09-28,320.91,320.91,320.91,320.91,0.41%
2023-09-29,322.04,322.04,322.04,322.04,0.35%
2023-10-02,321.45,321.45,321.45,321.45,-0.18%
2023-10-03,317.55,317.55,317.55,317.55,-1.21%
2023-10-04,320.65,320.65,320.65,320.65,0.98%
2023-10-05,320.63,320.63,320.63,320.63,-0.01%
2023-10-06,326.43,326.43,326.43,326.43,1.81%
2023-10-09,325.97,325.97,325.97,325.97,-0.14%
2023-10-10,328.56,328.56,328.56,328.56,0.79%
2023-10-11,330.6,330.6,330.6,330.6,0.62%
